date,Tmax,Tmin,Tavg,,,,,,Prcp
6/1/2022,35,28,30.8,,,,,,0
6/2/2022,37,28,31.4,,,,,,0
6/3/2022,36,28,30.9,,,,,,0
6/4/2022,34.1,28,30.4,,,,,,0
6/5/2022,34,28,30.3,,,,,,0
6/6/2022,34,27,30.2,,,,,,0
6/7/2022,34,27,30.1,,,,,,0
6/8/2022,34,28,30.3,,,,,,0
6/9/2022,33,28,30.2,,,,,,0.1
6/10/2022,34,29,30.8,,,,,,1.1
6/11/2022,34,28,30.9,,,,,,0.9
6/12/2022,35,29,31.5,,,,,,0.6
6/13/2022,35,27.7,31.7,,,,,,0
6/14/2022,36,29,31.6,,,,,,0
6/15/2022,34,30,31.7,,,,,,0.3
6/16/2022,35,30,31.8,,,,,,0.4
6/17/2022,35,30,31.8,,,,,,1.3
6/18/2022,34,30,31.6,,,,,,1.8
6/19/2022,35,30,31.8,,,,,,0.4
6/20/2022,34,30,31.3,,,,,,1.3
6/21/2022,35,30,31.8,,,,,,0.4
6/22/2022,36,23.4,31.1,,,,,,0.8
6/23/2022,39,27,32.3,,,,,,0
6/24/2022,40,30,33,,,,,,0
6/25/2022,36,28.1,31.6,,,,,,0
6/26/2022,37,29,32.4,,,,,,0
6/27/2022,36,30,32.1,,,,,,0
6/28/2022,37,30,32.4,,,,,,0
6/29/2022,35,30,31.7,,,,,,0.7
6/30/2022,35,29,31.4,,,,,,1
7/1/2022,35,30,32,,,,,,1.1
7/2/2022,34,30,31.4,,,,,,0.7
7/3/2022,34.2,29.3,31.6,,,,,,0.4
7/4/2022,36,28,31.1,,,,,,9.9
7/5/2022,36.6,28,30.3,,,,,,25.3
7/6/2022,33,27,30,,,,,,22.7
7/7/2022,34.2,26,29.2,,,,,,9.8
7/8/2022,34,27,28.7,,,,,,45.6
7/9/2022,30,27,28.1,,,,,,51.2
7/10/2022,32.2,27,29.2,,,,,,7.8
7/11/2022,30,26,27.8,,,,,,13.7
7/12/2022,34,28,30.3,,,,,,1.4
7/13/2022,34.2,29,31.1,,,,,,1.9
7/14/2022,38,28,31.9,,,,,,0.1
7/15/2022,36,27,31.2,,,,,,10.9
7/16/2022,35,27,30.9,,,,,,5
7/17/2022,35,27,30.3,,,,,,2.9
7/18/2022,31.2,27,28.8,,,,,,2
7/19/2022,32.6,28,30,,,,,,0.7
7/20/2022,33,28,30.3,,,,,,1.2
7/21/2022,32,28,29.8,,,,,,2.2
7/22/2022,31,28,29.4,,,,,,1.9
7/23/2022,31,29,29.5,,,,,,0.6
7/24/2022,29,27,27.7,,,,,,34.7
7/25/2022,30,26,27.4,,,,,,19.7
7/26/2022,31,26,28,,,,,,6.2
7/27/2022,30,26,27.4,,,,,,10
7/28/2022,32,26,28.3,,,,,,2.5
7/29/2022,30,27,28.3,,,,,,1.4
7/30/2022,30.2,26.8,28.6,,,,,,0.8
7/31/2022,31,26,28.5,,,,,,1.5
8/1/2022,29.6,27,27.9,,,,,,1.6
8/2/2022,30,27,28.4,,,,,,1.1
8/3/2022,32,27,29,,,,,,0.3
8/4/2022,33,28,29.9,,,,,,0
8/5/2022,33,28,30.1,,,,,,0
8/6/2022,31.4,28,29.1,,,,,,0.2
8/7/2022,34.2,27,29.5,,,,,,1
8/8/2022,35,28,30.5,,,,,,0
8/9/2022,36,29,31.5,,,,,,7.4
8/10/2022,34,26.4,29.7,,,,,,1.5
8/11/2022,36,27,30.7,,,,,,15.1
8/12/2022,33,27,29.5,,,,,,20.9
8/13/2022,29,25,27.2,,,,,,18.7
8/14/2022,32,25,28.3,,,,,,8.3
8/15/2022,31.1,28,28.7,,,,,,18
8/16/2022,32.2,27,28.1,,,,,,8.7
8/17/2022,31,26,27.8,,,,,,28.5
8/18/2022,29,26,27.8,,,,,,8.5
8/19/2022,29,27,28,,,,,,1.8
8/20/2022,30,27,28.3,,,,,,1.5
8/21/2022,30,27,28.5,,,,,,1.9
8/22/2022,31.2,27,28.5,,,,,,0.8
8/23/2022,31.1,26,28,,,,,,2.7
8/24/2022,28,26,27.2,,,,,,28
8/25/2022,30,27,28.1,,,,,,4.2
8/26/2022,31,27,28.2,,,,,,1.8
8/27/2022,30,26,28,,,,,,1
8/28/2022,31,27,28.3,,,,,,0
8/29/2022,30.4,26,28.2,,,,,,0.2
8/30/2022,32,26,28.7,,,,,,0.3
8/31/2022,32.2,26,28.7,,,,,,0.1
9/1/2022,31,27,28.6,,,,,,0.5
9/2/2022,32,27,28.9,,,,,,0
9/3/2022,32,27,29.1,,,,,,0
9/4/2022,31,28,28.8,,,,,,0
9/5/2022,31,27,28.4,,,,,,0.3
9/6/2022,32.4,27,28.9,,,,,,0
9/7/2022,34,26,29.1,,,,,,0
9/8/2022,34.4,24.7,29.7,,,,,,0
9/9/2022,38.4,27,32.3,,,,,,0
9/10/2022,40,27,33,,,,,,0
9/11/2022,36,28,31.3,,,,,,0
9/12/2022,35,25,28,,,,,,2.4
9/13/2022,36,26,28.5,,,,,,0.2
9/14/2022,37.2,24,30.1,,,,,,0
9/15/2022,32,27,28.9,,,,,,0
9/16/2022,31,27,28.4,,,,,,0
9/17/2022,32,26,28.5,,,,,,0.2
9/18/2022,33,27,29.3,,,,,,0.5
9/19/2022,33,26,28.6,,,,,,0
9/20/2022,31.4,26,28,,,,,,0
9/21/2022,32,26,28.1,,,,,,0
9/22/2022,32,26,28.4,,,,,,0
9/23/2022,30,27,28,,,,,,0
9/24/2022,30,26,27.9,,,,,,0.2
9/25/2022,32,26.8,28.7,,,,,,1.2
9/26/2022,33,26,28.7,,,,,,1
9/27/2022,33,26,28.6,,,,,,0
9/28/2022,32,26,28.2,,,,,,0
9/29/2022,32.6,26,28.4,,,,,,0
9/30/2022,32,25,28.1,,,,,,0
10/1/2022,32,25,28.2,,,,,,0
10/2/2022,32,26,28.3,,,,,,0
10/3/2022,33,26,28.7,,,,,,0
10/4/2022,33,26,29.2,,,,,,0
10/5/2022,35.4,26,29.6,,,,,,0
10/6/2022,35.8,25,29.1,,,,,,0
10/7/2022,38,24,30.2,,,,,,0
10/8/2022,38,27,31.4,,,,,,0
10/9/2022,38,23,30.5,,,,,,0
10/10/2022,37,24,29.3,,,,,,0
10/11/2022,37,19,28,,,,,,0
10/12/2022,36,19,26.8,,,,,,0
10/13/2022,36,18,26.7,,,,,,0
10/14/2022,36,19,26.6,,,,,,0
10/15/2022,36.4,18,26.6,,,,,,0
10/16/2022,37,20,28.4,,,,,,0
10/17/2022,37.4,18,27.9,,,,,,0
10/18/2022,34.2,20,27.5,,,,,,0
10/19/2022,33.2,22,27.3,,,,,,0
10/20/2022,33,22,27.3,,,,,,0
10/21/2022,36.6,22,28.2,,,,,,0
10/22/2022,36,22,28.6,,,,,,0
10/23/2022,36.4,20,27.5,,,,,,0
10/24/2022,35,20,27.2,,,,,,0
10/25/2022,32.4,25,27.9,,,,,,0
10/26/2022,34,25,28.2,,,,,,0
10/27/2022,32,24,27.5,,,,,,0
10/28/2022,33,22,27.1,,,,,,0
10/29/2022,33.4,21,26.9,,,,,,0
10/30/2022,35,19,27.4,,,,,,0
10/31/2022,35,20,27,,,,,,0
11/1/2022,35,20,27.1,,,,,,0
11/2/2022,34.2,23,27.8,,,,,,0
11/3/2022,34,21,27.4,,,,,,0
11/4/2022,34.8,21,27.5,,,,,,0
11/5/2022,35.8,19,26.4,,,,,,0
11/6/2022,33.2,19,25.7,,,,,,0
11/7/2022,29,20,24.4,,,,,,0
11/8/2022,31,20,24.6,,,,,,0
11/9/2022,31,19,24.9,,,,,,0
11/10/2022,33,20,25.9,,,,,,0
11/11/2022,33.2,20,26.4,,,,,,0
11/12/2022,33,20,26.2,,,,,,0
11/13/2022,33,20,25.9,,,,,,0
11/14/2022,31,24,26.7,,,,,,0
11/15/2022,30,21.8,25,,,,,,0
11/16/2022,31,18,24.4,,,,,,0
11/17/2022,33,20,25.3,,,,,,0
11/18/2022,31.4,18,24.7,,,,,,0
11/19/2022,31,20,25.1,,,,,,0
11/20/2022,32,20,25.2,,,,,,0
11/21/2022,31.4,17,24.7,,,,,,0
11/22/2022,32,20,25.3,,,,,,0
11/23/2022,31.4,16,23.6,,,,,,0
11/24/2022,32,16,23,,,,,,0
11/25/2022,30.2,15,22.5,,,,,,0
11/26/2022,30.6,14,22.8,,,,,,0
11/27/2022,30,16,23,,,,,,0
11/28/2022,30.4,16,22.6,,,,,,0
11/29/2022,31,14,22.1,,,,,,0
11/30/2022,31,12,21.3,,,,,,0
12/1/2022,30.6,13,21.3,,,,,,0
12/2/2022,29.2,12,21.1,,,,,,0
12/3/2022,29,15,21.7,,,,,,0
12/4/2022,30,13,21.3,,,,,,0
12/5/2022,29,14,21.2,,,,,,0
12/6/2022,29,14,21.5,,,,,,0
12/7/2022,30.2,13,20.8,,,,,,0
12/8/2022,31,13,21.3,,,,,,0
12/9/2022,31,16,22.2,,,,,,0
12/10/2022,30,15,22.3,,,,,,0
12/11/2022,29,18.8,22.9,,,,,,0
12/12/2022,29,17,22.5,,,,,,0
12/13/2022,28,15,21.4,,,,,,0
12/14/2022,29,16,22.3,,,,,,0
12/15/2022,30,11,20.2,,,,,,0
