date,Tmax,Tmin,Tavg,Prcp
1/1/2010,26,14.8,20.6,0
1/2/2010,25.3,17.5,20.9,0
1/3/2010,25,14.3,19.8,0
1/4/2010,25.6,15,20.4,0
1/5/2010,25.4,16.2,20.6,0
1/6/2010,24.1,15.1,20.1,0
1/7/2010,26,15.1,20.6,0
1/8/2010,25.5,16.8,20.7,0
1/9/2010,25.4,15.1,19.8,0
1/10/2010,25.9,13.9,19.6,0
1/11/2010,24.3,15.8,19.5,0
1/12/2010,22.5,15,18.8,0
1/13/2010,24.3,13.5,19.6,0
1/14/2010,24.6,12.6,18.9,0
1/15/2010,25.5,14.4,19.5,0
1/16/2010,26.6,13.8,19.7,0
1/17/2010,25.7,12.2,19,0
1/18/2010,25.8,14.2,20.2,0
1/19/2010,26.1,14.2,20.2,0
1/20/2010,26.5,14.6,20.6,0
1/21/2010,26.8,15.6,20.9,0
1/22/2010,25.4,15,20.3,0
1/23/2010,25.5,16.4,20.8,0
1/24/2010,27.1,17.1,21.9,0
1/25/2010,28.1,16.7,22.1,0
1/26/2010,27,15.5,21.3,0
1/27/2010,25.9,15.8,21.2,0
1/28/2010,25.9,17.5,21.5,0
1/29/2010,26,18.6,21.9,0
1/30/2010,27,16,21.5,0
1/31/2010,26.1,15.8,21.1,0
2/1/2010,26.5,17,21.5,0
2/2/2010,27.7,15.7,21.9,0
2/3/2010,29.1,17.1,23,0
2/4/2010,29.5,17.2,23.1,0
2/5/2010,30,16.3,23.1,0
2/6/2010,29.3,16.6,23.1,0
2/7/2010,26,18.1,22.5,0
2/8/2010,23.4,17.9,21.6,8.3
2/9/2010,19.7,13.4,16.6,0
2/10/2010,22.8,11.5,17,0
2/11/2010,23.1,13.6,17.8,0
2/12/2010,23.6,11.2,17.6,0
2/13/2010,25.4,13.7,19.6,0
2/14/2010,27,13.3,20.3,0
2/15/2010,27.7,15.9,21.7,0
2/16/2010,27.3,14.3,21.1,0
2/17/2010,26.4,13.7,20,0
2/18/2010,25.4,11.8,19,0
2/19/2010,27,16.3,21.5,0
2/20/2010,28.5,16.2,21.9,0
2/21/2010,27.2,15.9,21.2,0
2/22/2010,26.5,17.2,21.7,0
2/23/2010,27.2,20,23,0
2/24/2010,27.2,18.9,22.7,0
2/25/2010,26.7,18.4,22.5,0
2/26/2010,28.1,19.6,23,0
2/27/2010,30.3,18.7,23.5,0
2/28/2010,28,19.2,23.2,0
3/1/2010,28.8,22,24.5,0
3/2/2010,28.2,21.8,24.2,0
3/3/2010,27.6,21.6,24.2,0
3/4/2010,28.7,22.5,24.8,0
3/5/2010,27.6,21.5,23.9,0
3/6/2010,27.6,20.8,23.7,0
3/7/2010,28.3,19.5,23.7,0
3/8/2010,30.5,18.5,24.4,0
3/9/2010,32.1,19.5,25.2,0
3/10/2010,32.8,21.2,25.9,0
3/11/2010,33.6,18.8,26,0
3/12/2010,32.9,19.8,25.9,0
3/13/2010,33.2,21,26.4,0
3/14/2010,31.3,22.2,26.1,0
3/15/2010,31.9,22.2,26.3,0
3/16/2010,32.5,22.3,26.5,0
3/17/2010,34,20.5,26.7,0
3/18/2010,38.2,23,30,0
3/19/2010,38.6,22.8,30.5,0
3/20/2010,37,25.1,30.3,0
3/21/2010,33.3,23.8,28,0
3/22/2010,32.1,24,27.3,0
3/23/2010,32.3,22.5,26.6,0
3/24/2010,32.6,21,26.2,0
3/25/2010,32.1,21.2,26.2,0
3/26/2010,31.7,20.8,25.8,0
3/27/2010,32.8,22.4,26.9,0
3/28/2010,31.8,21.8,26.3,0
3/29/2010,31.2,23.1,26.5,0
3/30/2010,32.6,24.3,27.5,0
3/31/2010,32.8,23.9,27.5,0
4/1/2010,33.5,24.5,28.5,0
4/2/2010,31.7,25.1,28.2,0
4/3/2010,31.8,23.2,26.8,0
4/4/2010,30.7,21.5,25.7,0
4/5/2010,32.3,20.3,26.2,0
4/6/2010,37,21.4,28.3,0
4/7/2010,33.1,22.5,27.3,0
4/8/2010,32.4,22.1,26.9,0
4/9/2010,35,23.9,28.4,0
4/10/2010,32,24.3,27.6,0
4/11/2010,32.9,25,28.8,0
4/12/2010,34.2,26.2,29.5,0
4/13/2010,35.3,23.9,29,0
4/14/2010,34.9,24.7,29,0
4/15/2010,33.7,23.6,28.6,0
4/16/2010,34.7,25.4,29.3,0
4/17/2010,35.1,26,30.2,0
4/18/2010,34.4,27.7,30.8,0
4/19/2010,33,26.8,29.7,0
4/20/2010,34,27.1,29.8,0
4/21/2010,32.4,25.1,28.4,0
4/22/2010,33.3,24.5,28.1,0
4/23/2010,31.9,24.2,27.5,0
4/24/2010,32.4,25,27.9,0
4/25/2010,31.8,25.6,28.3,0
